Date,Balance
7/30/2018,25000.00
7/31/2018,25007.88
8/1/2018,24944.65
8/2/2018,24887.00
8/3/2018,25062.44
8/6/2018,25014.17
8/7/2018,25065.90
8/8/2018,25011.02
8/9/2018,25038.37
8/10/2018,25073.25
8/13/2018,25018.10
8/14/2018,24964.86
8/15/2018,24918.50
8/16/2018,24903.63
8/17/2018,24849.61
8/20/2018,24807.96
8/21/2018,24772.54
8/22/2018,24715.74
8/23/2018,24674.36
8/24/2018,24631.48
8/27/2018,24572.81
8/28/2018,24543.64
8/29/2018,24479.10
8/30/2018,24415.73
8/31/2018,24466.70
9/4/2018,24401.98
9/5/2018,24338.92
9/6/2018,24302.03
9/7/2018,24244.83
9/10/2018,24189.21
9/11/2018,24144.53
9/12/2018,24128.11
9/13/2018,24069.72
9/14/2018,24413.53
9/17/2018,24350.54
9/18/2018,24289.07
9/19/2018,24234.64
9/20/2018,24176.93
9/21/2018,24128.50
9/24/2018,24064.81
9/25/2018,24021.04
9/26/2018,23990.84
9/27/2018,23988.11
9/28/2018,23936.23
10/1/2018,23882.17
10/2/2018,23820.61
10/3/2018,23951.81
10/4/2018,23890.50
10/5/2018,23838.14
10/8/2018,23799.01
10/9/2018,24098.20
10/10/2018,24054.09
10/11/2018,24100.15
10/12/2018,24148.07
10/15/2018,24115.10
10/16/2018,24056.02
10/17/2018,24607.99
10/18/2018,24621.61
10/19/2018,24682.46
10/22/2018,24622.27
10/23/2018,24576.75
10/24/2018,24555.39
10/25/2018,24497.18
10/26/2018,24436.22
10/29/2018,25344.73
10/30/2018,25284.77
10/31/2018,25225.32
11/1/2018,25219.42
11/2/2018,25193.85
11/5/2018,25127.13
11/6/2018,25556.41
11/7/2018,25499.64
11/8/2018,25449.79
11/9/2018,25389.47
11/12/2018,25328.13
11/13/2018,25296.14
11/14/2018,25258.13
11/15/2018,25229.50
11/16/2018,25161.07
11/19/2018,25136.94
11/20/2018,25142.96
11/21/2018,25083.42
11/23/2018,25105.41
11/26/2018,25084.34
11/27/2018,25068.82
11/28/2018,25012.61
11/29/2018,24959.41
11/30/2018,24918.20
12/3/2018,24938.44
12/4/2018,24879.24
12/6/2018,24887.29
12/7/2018,24862.86
12/10/2018,24799.87
12/11/2018,24997.37
12/12/2018,24968.88
12/13/2018,25284.59
12/14/2018,25245.31
12/17/2018,25182.73
12/18/2018,25171.35
12/19/2018,25389.62
12/20/2018,25467.24
12/21/2018,25565.62
12/24/2018,25502.29
12/26/2018,25437.63
12/27/2018,25436.71
12/28/2018,25390.12
12/31/2018,25344.35
1/2/2019,25401.99
1/3/2019,25335.34
1/4/2019,25271.28
1/7/2019,25201.96
1/8/2019,25261.74
1/9/2019,25281.93
1/10/2019,25246.01
1/11/2019,25251.93
1/14/2019,25213.78
1/15/2019,25161.48
1/16/2019,25100.98
1/17/2019,25032.95
1/18/2019,24978.79
1/22/2019,24943.40
1/23/2019,24885.08
1/24/2019,24882.19
1/25/2019,24826.54
1/28/2019,25061.96
1/29/2019,25182.68
1/30/2019,25121.04
1/31/2019,25123.56
2/1/2019,25065.75
2/4/2019,25042.90
2/5/2019,25013.02
2/6/2019,24988.45
2/7/2019,25055.21
2/8/2019,25013.13
2/11/2019,24950.70
2/12/2019,24884.40
2/13/2019,24844.60
2/14/2019,24861.64
2/15/2019,24826.26
2/19/2019,24928.54
2/20/2019,24870.48
2/21/2019,24900.27
2/22/2019,24851.94
2/25/2019,24797.40
2/26/2019,24740.37
2/27/2019,24702.84
2/28/2019,24753.26
3/1/2019,24737.89
3/4/2019,24715.10
3/5/2019,24795.35
3/6/2019,24784.28
3/7/2019,24815.80
3/8/2019,24899.14
3/11/2019,24872.43
3/12/2019,24815.78
3/13/2019,24756.80
3/14/2019,24697.66
3/15/2019,24642.35
3/18/2019,24610.25
3/19/2019,24627.15
3/20/2019,24569.59
3/21/2019,24506.89
3/22/2019,24442.67
3/25/2019,24390.14
3/26/2019,24330.71
3/27/2019,24264.00
3/28/2019,24297.32
3/29/2019,24287.91
4/1/2019,24295.28
4/2/2019,24240.30
4/3/2019,24180.87
4/4/2019,24127.28
4/5/2019,24125.58
4/8/2019,24162.31
4/9/2019,24102.51
4/10/2019,24223.23
4/11/2019,24170.86
4/12/2019,24106.67
4/15/2019,24411.31
4/16/2019,24906.81
4/17/2019,24956.12
4/18/2019,24985.17
4/22/2019,24981.71
4/23/2019,24978.05
4/24/2019,25199.96
4/25/2019,25139.40
4/26/2019,25149.21
4/29/2019,25135.10
4/30/2019,25075.21
5/1/2019,25109.94
5/2/2019,25054.26
5/3/2019,24996.54
5/6/2019,25036.33
5/7/2019,25049.62
5/8/2019,25031.71
5/9/2019,24974.44
5/10/2019,25255.79
5/13/2019,25192.92
5/14/2019,25136.50
5/15/2019,25537.44
5/16/2019,25476.53
5/17/2019,25417.31
5/20/2019,25355.86
5/21/2019,25338.33
5/22/2019,25279.86
5/23/2019,25218.58
5/24/2019,26193.10
5/28/2019,26134.61
5/29/2019,26066.06
5/30/2019,26000.49
5/31/2019,25947.48
6/3/2019,25930.02
6/4/2019,25880.78
6/5/2019,25897.36
6/6/2019,25839.36
6/7/2019,25809.76
6/10/2019,25750.51
6/11/2019,25692.17
6/12/2019,26846.12
6/13/2019,26941.04
6/14/2019,26873.50
6/17/2019,26813.97
6/18/2019,26751.82
6/19/2019,26736.14
6/20/2019,26760.40
6/21/2019,26711.20
6/24/2019,26707.09
6/25/2019,26986.42
6/26/2019,26953.77
6/27/2019,26962.54
6/28/2019,27096.93
7/1/2019,27104.07
7/2/2019,27095.18
7/3/2019,27035.09
7/5/2019,27279.15
7/8/2019,27271.72
