Date,Starting Amount,Invested Amount,Remainder,Asset Change,Fees,Profit/Loss,Yield,Bottom Line
2008-08-01 00:00:00,25000.0,24913.16,86.84000000000606,-72.9200000000005,9.319999999999999,-116.69780000000034,-0.004667912000000014,24883.302200000002
2008-08-04 00:00:00,24883.302200000002,24568.570000000003,314.7322000000056,-332.86000000000126,15.39,7.459900000000074,0.0002997954186321813,24890.7621
2008-08-05 00:00:00,24890.7621,24546.510000000002,344.25209999999674,-394.0599999999986,10.500000000000002,-236.79269999999994,-0.009513276413501214,24653.96940000001
2008-08-06 00:00:00,24653.96940000001,24576.579999999998,77.38940000000468,-402.8699999999998,12.64,-251.35900000000004,-0.010195477893308326,24402.610400000005
2008-08-07 00:00:00,24402.610400000005,23884.34,518.2703999999987,-416.2599999999999,14.110000000000001,-21.006600000000105,-0.0008608341343678578,24381.6038
2008-08-08 00:00:00,24381.6038,23667.409999999996,714.1938000000046,-39.20999999999991,20.540000000000006,-177.8416,-0.007294089488895722,24203.762199999997
2008-08-11 00:00:00,24203.762199999997,24089.019999999997,114.74219999999877,908.23,5.24,187.37829999999946,0.007741701412022611,24391.140499999998
2008-08-12 00:00:00,24391.140499999998,23965.329999999998,425.8104999999996,-720.8400000000003,18.58,-83.42690000000019,-0.0034203771652252246,24307.713600000003
2008-08-13 00:00:00,24307.713600000003,23991.38,316.33360000000334,-503.6800000000002,13.07,-34.732299999999825,-0.0014288591914296636,24272.9813
2008-08-14 00:00:00,24272.9813,23886.0,386.98129999999765,305.0399999999996,16.75,170.83629999999977,0.0070381259676577,24443.8176
2008-08-15 00:00:00,24443.8176,23416.139999999996,1027.6775999999995,-333.10000000000025,19.309999999999995,-85.87919999999994,-0.0035133300945593676,24357.938399999995
2008-08-18 00:00:00,24357.938399999995,23704.51,653.4283999999886,495.6400000000011,15.36,483.37110000000035,0.01984449964780273,24841.309500000003
2008-08-19 00:00:00,24841.309500000003,24698.840000000004,142.46950000000652,1663.67,10.85,1279.2280000000003,0.05149599702060795,26120.537500000002
2008-08-20 00:00:00,26120.537500000002,25938.159999999996,182.37750000000528,-605.9099999999985,15.790000000000001,-275.1616000000001,-0.010534300835118724,25845.375899999995
2008-08-21 00:00:00,25845.375899999995,25123.980000000003,721.3958999999935,162.13999999999984,20.820000000000004,-41.481700000000046,-0.0016049950351080047,25803.89419999999
2008-08-22 00:00:00,25803.89419999999,25299.59,504.3041999999918,-180.1500000000006,15.600000000000001,-181.03719999999987,-0.007015886772625192,25622.85699999999
2008-08-25 00:00:00,25622.85699999999,25225.640000000003,397.21699999999237,103.70999999999972,14.280000000000001,46.93689999999965,0.0018318370976351185,25669.793899999982
2008-08-26 00:00:00,25669.793899999982,25514.930000000004,154.86389999998005,-176.69,16.02,85.14180000000027,0.003316808866159238,25754.935699999984
2008-08-27 00:00:00,25754.935699999984,25589.789999999997,165.14569999998366,29.86999999999985,11.5,-162.9570999999999,-0.006327218281503998,25591.978599999984
