Date,Starting Amount,Invested Amount,Remainder,Asset Change,Fees,Profit/Loss,Yield,Bottom Line
2018-07-16 00:00:00,25000.0,24414.1,585.8999999999996,283.9099999999986,7.279999999999999,169.72526730284272,0.006789010692113709,25169.72526730284
2018-07-17 00:00:00,25169.72526730284,24638.479999999996,531.2452673028428,1441.230000000001,7.49,8.106003701522038,0.00032205372189947107,25177.83127100437
2018-07-18 00:00:00,25177.83127100437,25093.87,83.96127100436934,-208.13000000000034,4.62,-21.71255019986166,-0.0008623677697318815,25156.118720804505
2018-07-19 00:00:00,25156.118720804505,24882.66,273.4587208045068,158.0300000000004,6.1000000000000005,-37.2312876364511,-0.0014800092196122546,25118.887433168056
2018-07-20,25118.887433168056,24688.78,430.10743316805883,595.6400000000006,5.82,145.58507682319046,0.0057958409667043485,25264.472509991247
2018-07-23,25264.472509991247,25151.050000000003,113.42250999124451,132.03999999999874,5.2,-62.00660793272645,-0.002454300516593209,25202.465902058517
2018-07-24,25202.465902058517,24863.81,338.65590205851504,90.00000000000178,5.76,-60.151980556509514,-0.0023867498041767556,25142.313921502006
2018-07-25,25142.313921502006,24812.089999999997,330.2239215020072,266.65000000000254,2.74,-24.350275878856987,-0.0009684978063229232,25117.96364562315
2018-07-26,25117.96364562315,24722.969999999998,394.9936456231485,177.27000000000027,3.52,-43.89141660829238,-0.0017474114234551233,25074.072229014855
2018-07-27,25074.072229014855,24869.93,204.14222901485664,740.7000000000007,3.5599999999999996,737.1300000000008,0.02939809669795157,25811.202229014856
2018-07-30,25811.202229014856,25674.83,136.3722290148571,393.8599999999992,4.88,-31.10689973313509,-0.001205170509189504,25780.095329281725
2018-07-31,25780.095329281725,25728.79,51.30532928172579,310.64000000000004,7.880000000000001,-81.66421407496205,-0.003167723510401672,25698.431115206764
2018-08-01,25698.431115206764,25676.950000000004,21.48111520676366,-370.80000000000086,7.3100000000000005,-24.35218741393469,-0.0009476137786296438,25674.078927792827
2018-08-02,25674.078927792827,25471.27,202.8089277928225,-1232.8300000000006,7.21,-46.090113979377435,-0.0017952002916639684,25627.98881381345
2018-08-03,25627.98881381345,25298.04,329.94881381344976,-55.41999999999993,9.34,-57.55630165722884,-0.0022458376299199128,25570.43251215622
2018-08-06,25570.43251215622,25555.480000000003,14.95251215621829,277.71999999999684,7.58,-170.7660543815797,-0.006678262258583122,25399.66645777464
2018-08-07,25399.66645777464,25214.679999999997,184.98645777464208,-67.20000000000078,6.340000000000001,-19.737261073297493,-0.0007770677267006426,25379.92919670135
2018-08-08,25379.92919670135,25219.84,160.08919670135037,-212.16000000000167,3.94,-43.0743937947003,-0.0016971833711931204,25336.85480290665
2018-08-09,25336.85480290665,24450.58,886.2748029066533,40.600000000000406,6.42,-50.04069069964532,-0.0019750158845250453,25286.81411220701
2018-08-10,25286.81411220701,25136.519999999997,150.2941122070115,63.95000000000111,7.92,-34.71180898617589,-0.0013727236982937696,25252.102303220832
2018-08-13,25252.102303220832,25236.95,15.152303220831527,-589.2999999999988,5.27,-27.145718259201942,-0.001074988447822801,25224.95658496163
2018-08-14,25224.95658496163,25030.249999999996,194.70658496163674,-283.6199999999989,6.16,-41.3156422431961,-0.0016378875461703379,25183.640942718437
2018-08-15,25183.640942718437,24944.97,238.6709427184369,107.01999999999958,4.26,-29.695949377427407,-0.0011791761741271828,25153.944993341007
2018-08-16,25153.944993341007,24606.8,547.1449933410058,-9.519999999999861,6.180000000000001,10.740834608675952,0.00042700397935669217,25164.68582794968
2018-08-17,25164.68582794968,24913.909999999996,250.77582794967984,-434.09000000000054,10.38,-34.641312370242645,-0.0013765843375547948,25130.044515579437
2018-08-20,25130.044515579437,25096.190000000002,33.85451557943816,-31.69000000000114,14.58,-24.514787110767223,-0.0009755170586971788,25105.52972846867
2018-08-21,25105.52972846867,25034.87,70.65972846867044,-56.07999999999942,5.6899999999999995,-24.133148543295974,-0.0009612682466496591,25081.39657992538
2018-08-22,25081.39657992538,24886.82,194.57657992537997,158.95000000000084,7.819999999999999,-42.14242405573022,-0.0016802263750121526,25039.254155869647
