Date,Open,High,Low,Close,Volume,Currency
2004-09-21,0.33,0.33,0.33,0.33,0.0,GBP
2004-09-22,0.33,0.33,0.33,0.33,0.0,GBP
2004-09-23,0.33,0.33,0.33,0.33,0.0,GBP
2004-09-26,0.33,0.33,0.33,0.33,0.0,GBP
2004-09-27,0.33,0.33,0.32,0.33,0.0,GBP
2004-09-28,0.33,0.33,0.32,0.33,0.0,GBP
2004-09-29,0.33,0.33,0.33,0.33,0.0,GBP
2004-09-30,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-03,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-04,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-05,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-06,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-07,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-10,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-11,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-12,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-13,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-14,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-17,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-18,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-19,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-20,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-21,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-24,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-25,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-26,0.33,0.33,0.33,0.33,0.0,GBP
2004-10-28,0.33,0.33,0.33,0.33,0.0,GBP
2004-11-01,0.33,0.33,0.33,0.33,0.0,GBP
2004-11-02,0.33,0.33,0.33,0.33,0.0,GBP
2004-11-03,0.33,0.33,0.32,0.32,0.0,GBP
2004-11-04,0.32,0.33,0.32,0.33,0.0,GBP
2004-11-05,0.33,0.33,0.33,0.33,0.0,GBP
2004-11-08,0.33,0.33,0.33,0.33,0.0,GBP
