Date,Open,High,Low,Close,Volume,Currency
2003-12-01,4.5,4.52,4.5,4.5,0.0,HKD
2003-12-02,4.51,4.52,4.5,4.51,0.0,HKD
2003-12-03,4.51,4.53,4.51,4.52,0.0,HKD
2003-12-04,4.52,4.53,4.52,4.53,0.0,HKD
2003-12-05,4.53,4.54,4.51,4.53,0.0,HKD
2003-12-08,4.53,4.54,4.52,4.54,0.0,HKD
2003-12-09,4.54,4.54,4.53,4.53,0.0,HKD
2003-12-10,4.53,4.54,4.52,4.53,0.0,HKD
2003-12-11,4.53,4.54,4.52,4.52,0.0,HKD
2003-12-12,4.53,4.55,4.52,4.54,0.0,HKD
2003-12-15,4.53,4.55,4.53,4.54,0.0,HKD
2003-12-16,4.54,4.56,4.54,4.55,0.0,HKD
2003-12-17,4.55,4.55,4.53,4.54,0.0,HKD
2003-12-18,4.54,4.55,4.54,4.55,0.0,HKD
2003-12-19,4.55,4.55,4.54,4.54,0.0,HKD
2003-12-22,4.54,4.55,4.54,4.54,0.0,HKD
2003-12-23,4.54,4.58,4.54,4.55,0.0,HKD
2003-12-24,4.55,4.55,4.54,4.55,0.0,HKD
2003-12-25,4.55,4.55,4.54,4.55,0.0,HKD
2003-12-26,4.55,4.56,4.55,4.55,0.0,HKD
2003-12-29,4.56,4.56,4.55,4.56,0.0,HKD
2003-12-30,4.56,4.56,4.55,4.56,0.0,HKD
2003-12-31,4.56,4.58,4.56,4.56,0.0,HKD
2004-01-01,4.58,4.58,4.56,4.57,0.0,HKD
2004-01-02,4.57,4.57,4.55,4.56,0.0,HKD
2004-01-05,4.58,4.58,4.56,4.57,0.0,HKD
2004-01-06,4.57,4.58,4.57,4.57,0.0,HKD
2004-01-07,4.57,4.58,4.57,4.58,0.0,HKD
2004-01-08,4.57,4.62,4.57,4.58,0.0,HKD
2004-01-09,4.58,4.62,4.57,4.59,0.0,HKD
2004-01-12,4.58,4.6,4.58,4.59,0.0,HKD
2004-01-13,4.59,4.59,4.57,4.58,0.0,HKD
2004-01-14,4.58,4.59,4.55,4.56,0.0,HKD
2004-01-15,4.55,4.59,4.55,4.58,0.0,HKD
2004-01-16,4.57,4.58,4.56,4.56,0.0,HKD
2004-01-19,4.56,4.56,4.54,4.54,0.0,HKD
2004-01-20,4.54,4.55,4.53,4.55,0.0,HKD
2004-01-21,4.55,4.58,4.55,4.57,0.0,HKD
2004-01-22,4.57,4.59,4.57,4.59,0.0,HKD
2004-01-23,4.59,4.59,4.57,4.58,0.0,HKD
2004-01-26,4.58,4.59,4.57,4.57,0.0,HKD
2004-01-27,4.57,4.62,4.56,4.58,0.0,HKD
2004-01-28,4.58,4.6,4.55,4.57,0.0,HKD
2004-01-29,4.57,4.6,4.56,4.57,0.0,HKD
2004-01-30,4.57,4.6,4.56,4.59,0.0,HKD
2004-02-02,4.6,4.6,4.58,4.59,0.0,HKD
2004-02-03,4.59,4.59,4.58,4.59,0.0,HKD
2004-02-04,4.59,4.59,4.58,4.59,0.0,HKD
2004-02-05,4.59,4.6,4.58,4.59,0.0,HKD
2004-02-06,4.59,4.62,4.57,4.61,0.0,HKD
2004-02-09,4.61,4.62,4.6,4.61,0.0,HKD
2004-02-10,4.61,4.67,4.61,4.63,0.0,HKD
2004-02-11,4.63,4.66,4.63,4.66,0.0,HKD
2004-02-12,4.66,4.66,4.63,4.64,0.0,HKD
2004-02-13,4.64,4.65,4.63,4.64,0.0,HKD
2004-02-16,4.64,4.64,4.63,4.64,0.0,HKD
2004-02-17,4.64,4.64,4.63,4.64,0.0,HKD
2004-02-18,4.64,4.65,4.62,4.63,0.0,HKD
2004-02-19,4.63,4.63,4.61,4.62,0.0,HKD
