Symbol,Name,High,Low,Close,Volume,Change ($),Change (%)
43Q,Advancer Global Limited,0.1180,0.1180,0.1180,0,0.0000,0.00
44RW,Kepcorp 5xshortub250530,0.3250,0.3150,0.3150,400,-0.0250,7.35
44TW,Lining 5xshortub250321,1.450,1.360,1.450,500,-0.110,7.05
45IW,Cmb 5xlongub250430,0.0160,0.0140,0.0140,200,-0.0010,6.67
48HW,Lining 5xlongub250430,0.0060,0.0060,0.0060,0,0.0000,0.00
49B,Amos Group,0.1000,0.0990,0.1000,2500,0.0090,9.89
500,Tai Sin Electric Limited,0.4050,0.4050,0.4050,0,0.0000,0.00
502,Hsr Global Limited,0.0030,0.0030,0.0030,2600,0.0000,0.00
504,Klw Holdings Ltd,0.0020,0.0020,0.0020,4200,-0.0010,33.33
505,Asiamedic Limited,0.0090,0.0090,0.0090,19000,0.0000,0.00
508,Fuji Offset Plates Mfg Ltd,0.3300,0.3300,0.3300,0,0.0000,0.00
510,Hiap Seng Engineering Ltd,0.0200,0.0200,0.0200,0,0.0000,0.00
528,Second Chance Properties Ltd,0.2150,0.2100,0.2150,25100,-0.0050,2.27
52HW,Simsci 280mbepw230630,0.0380,0.0380,0.0380,0,0.0000,0.00
52JW,Simsci 330mbecw230630,0.0350,0.0350,0.0350,0,0.0000,0.00
532,DISA,0.0020,0.0020,0.0020,2200,-0.0010,33.33
533,Abr Holdings Limited,0.4500,0.4500,0.4500,0,0.0000,0.00
540,Tung Lok Restaurants 2000 Ltd,0.1290,0.1260,0.1260,20100,0.0000,0.00
541,Craft Print International Ltd,0.0260,0.0260,0.0260,0,0.0000,0.00
543,Noel Gifts International Ltd,0.2000,0.2000,0.2000,0,0.0000,0.00
544,Cse Global Ltd,0.4150,0.4100,0.4100,3068400,0.0000,0.00
546,Medtecs International Corp Ltd,0.1480,0.1450,0.1470,3109400,0.0000,0.00
554,King Wan Corporation Limited,0.0320,0.0300,0.0320,650900,0.0030,10.34
558,Ums Holdings Limited,1.080,1.060,1.070,5480400,0.010,0.94
564,Spindex Industries Limited,0.9700,0.9500,0.9500,16000,-0.0300,3.06
566,See Hup Seng Limited,0.1390,0.1390,0.1390,0,0.0000,0.00
569,Vicplas International Ltd,0.1370,0.1260,0.1360,150200,-0.0030,2.16
56DW,Geely 5xlongub250930,0.1610,0.1580,0.1600,10400,0.0070,4.58
570,Transit-mixed Concrete Ltd,0.2100,0.2100,0.2100,0,0.0000,0.00
573,Challenger Technologies Ltd,0.5950,0.5950,0.5950,1000,0.0000,0.00
575,Asti Holdings Limited,0.0140,0.0140,0.0140,0,0.0000,0.00
578,Ks Energy Limited,0.0130,0.0130,0.0130,0,0.0000,0.00
579,Oceanus Group Limited,0.0120,0.0110,0.0110,6550700,0.0000,0.00
57HW,Dbs Mb Epw231227,0.0780,0.0680,0.0680,3860000,-0.0130,16.05
57TW,Uob Mb Ecw231120,0.0420,0.0420,0.0420,0,0.0000,0.00
580,Santak Holdings Limited,0.0400,0.0400,0.0400,0,0.0000,0.00
581,Ite Electric Co Ltd,0.0350,0.0350,0.0350,0,0.0000,0.00
583,Progen Holdings Ltd,0.0420,0.0420,0.0420,0,0.0000,0.00
584,Oakwell Engineering Limited,0.0060,0.0060,0.0060,2016900,0.0000,0.00
585,Asian Micro Holdings Ltd,0.0030,0.0030,0.0030,2000,-0.0010,25.00
58UW,Netease 5xlongub251031,1.545,1.545,1.545,0,0.000,0.00
594,Loyz Energy Limited,0.0010,0.0010,0.0010,10900,-0.0010,50.00
595,Van Der Horst Energy Limited,0.0730,0.0680,0.0730,51100,-0.0010,1.35
596,Thai Village Holdings Ltd,0.0180,0.0180,0.0180,0,0.0000,0.00
5A1B,Astrea V3.85%b290620#,1.003,1.002,1.002,12000,0.001,0.10
5AB,Trek 2000 Int'l Ltd,0.0470,0.0460,0.0470,45900,-0.0070,12.96
5AE,Pollux Properties Ltd.,0.0450,0.0420,0.0440,5900800,0.0010,2.33
5AI,Sunlight Group Hldg Ltd,0.0180,0.0180,0.0180,50100,-0.0010,5.26
5AL,Annica Holdings Limited,0.0010,0.0010,0.0010,0,0.0000,0.00
5AU,Ap Oil International Limited,0.1460,0.1460,0.1460,0,0.0000,0.00
5BI,Carriernet Global Ltd,0.0010,0.0010,0.0010,0,0.0000,0.00
5BS,Pne Micron Holdings Ltd,0.0220,0.0220,0.0220,0,0.0000,0.00
5CF,Okp Holdings Limited,0.2300,0.2300,0.2300,0,0.0000,0.00
5CP,Silverlake Axis Ltd,0.3000,0.2900,0.3000,415600,0.0050,1.69
5CR,Asiatic Group (holdings) Ltd,0.0020,0.0020,0.0020,0,0.0000,0.00
5CT,Ecowise Holdings Limited,0.0780,0.0780,0.0780,0,0.0000,0.00
5DD,Micro-mechanics (holdings) Ltd,1.990,1.960,1.970,28100,0.010,0.51
5DM,Ying Li Intl Real Estate Ltd,0.0270,0.0260,0.0270,6000,0.0020,8.00
5DN,Ezra Holdings Limited,0.0110,0.0110,0.0110,0,0.0000,0.00
5DO,Sakae Holdings Ltd.,0.1000,0.0990,0.0990,100500,-0.0070,6.60
5DP,Heeton Holdings Limited,0.2600,0.2550,0.2600,161000,0.0050,1.96
5DS,Megachem Limited,0.4950,0.4950,0.4950,0,0.0000,0.00
5DX,Metal Component Engg Ltd,0.0150,0.0140,0.0140,498000,0.0000,0.00
5EB,Cfm Holdings Limited,0.0960,0.0930,0.0930,588400,-0.0020,2.11
5EC,ISR Capital,0.0030,0.0030,0.0030,0,0.0000,0.00
5EF,Adventus Holdings Limited,0.0060,0.0060,0.0060,0,0.0000,0.00
5EG,New Lakeside Holdings Limited,0.0290,0.0290,0.0290,0,0.0000,0.00
5EN,Midas Hldgs Limited,0.1920,0.1920,0.1920,0,0.0000,0.00
5EV,Hosen Group Ltd,0.0510,0.0510,0.0510,0,0.0000,0.00
5EW,Pan Asian Holdings Limited,0.0680,0.0620,0.0680,80000,-0.0020,2.86
5F4,Figtree Holdings Limited,0.0380,0.0380,0.0380,8000,0.0060,18.75
5F7,Hartawan Hldgs Ltd,0.0080,0.0080,0.0080,0,0.0000,0.00
5FL,Falcon Energy Group Limited,0.0270,0.0270,0.0270,0,0.0000,0.00
5FW,Linair Technologies Limited,0.0570,0.0550,0.0550,4187600,0.0010,1.85
5FX,New Wave Holdings Ltd.,0.0060,0.0060,0.0060,10000,0.0000,0.00
5G1,Eurosports Global Limited,0.1800,0.1800,0.1800,0,0.0000,0.00
5G2,Kimheng Offshore&marine Hldltd,0.1030,0.0990,0.0990,1040600,-0.0020,1.98
5G3,Talkmed Group Limited,0.4050,0.4050,0.4050,50000,-0.0050,1.22
5G4,Infinio Group Limited,0.0010,0.0010,0.0010,0,0.0000,0.00
5G9,Tritech Group Limited,0.0210,0.0200,0.0200,2881600,0.0000,0.00
5GD,Sunpower Group Ltd.,0.3250,0.3100,0.3150,62700,-0.0100,3.08
5GF,Nico Steel Holdings Limited,0.0010,0.0010,0.0010,0,0.0000,0.00
5GI,Interra Resources Limited,0.0360,0.0330,0.0340,8448700,-0.0010,2.86
5GJ,Ausgroup Limited,0.0090,0.0090,0.0090,0,0.0000,0.00
5GZ,Aa Group Holdings Ltd.,0.0110,0.0110,0.0110,400000,0.0000,0.00
5HG,Oniontech Limited,0.0070,0.0040,0.0070,1200,0.0000,0.00
5HH,Hln Technologies Limited,0.0320,0.0300,0.0310,2128400,0.0000,0.00
5HT,Communication Design Intl Ltd,0.0070,0.0070,0.0070,0,0.0000,0.00
5HV,Metax Engineering Corp Limited,0.0330,0.0320,0.0330,2450300,0.0010,3.13
5I1,Kop Limited,0.0370,0.0370,0.0370,400,-0.0030,7.50
5I4,Icp Ltd,0.0080,0.0070,0.0080,5100,0.0010,14.29
5IC,Sing Holdings Limited,0.3550,0.3550,0.3550,0,0.0000,0.00
5IE,Lorenzo International Limited,0.0160,0.0160,0.0160,0,0.0000,0.00
5IF,Natural Cool Holdings Limited,0.0270,0.0270,0.0270,0,0.0000,0.00
5IG,Gallant Venture Ltd.,0.1320,0.1320,0.1320,0,0.0000,0.00
5JK,Hiap Hoe Limited,0.7000,0.6700,0.7000,369400,-0.0100,1.41
5JS,Indofood Agri Resources Ltd.,0.3150,0.3050,0.3150,8800,0.0100,3.28
5KI,Soup Restaurant Group Limited,0.0900,0.0850,0.0900,3000,0.0050,5.88
5L7W,Geely 5xshortub250228,0.0040,0.0040,0.0040,0,0.0000,0.00
5L9W,Singtelmbecw231215,0.0140,0.0140,0.0140,0,0.0000,0.00
5LE,Sitra Holdings (intl) Limited,0.0150,0.0150,0.0150,0,0.0000,0.00
